Country (or dependency),Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area,Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,percentage_pop,TotalFert,Odds
French Guiana,299958,2.70%,7850,4,82200,1200,3.4,25,87%,0.00%,3.84E-05,0.000130609,5.30E-05
Barbados,287437,0.12%,350,668,430,-79,1.6,40,31%,0.00%,3.68E-05,5.89E-05,2.39E-05
New Caledonia,285972,0.97%,2748,16,18280,502,2,34,72%,0.00%,3.66E-05,7.32E-05,2.97E-05
French Polynesia,281191,0.58%,1621,77,3660,-1000,2,34,64%,0.00%,3.60E-05,7.20E-05,2.93E-05
Mayotte,273905,2.50%,6665,728,375,0,3.7,20,46%,0.00%,3.51E-05,0.000129789,5.27E-05
Sao Tome & Principe,219844,1.91%,4103,228,960,-1680,4.4,19,74%,0.00%,2.82E-05,0.00012388,5.03E-05
Samoa,198643,0.67%,1317,70,2830,-2803,3.9,22,18%,0.00%,2.54E-05,9.92E-05,4.03E-05
Saint Lucia,183774,0.46%,837,301,610,0,1.4,34,19%,0.00%,2.35E-05,3.29E-05,1.34E-05
Channel Islands,174140,0.93%,1604,915,190,1351,1.5,43,30%,0.00%,2.23E-05,3.35E-05,1.36E-05
Guam,169031,0.89%,1481,313,540,-506,2.3,31,95%,0.00%,2.16E-05,4.98E-05,2.02E-05
Curaçao,164211,0.41%,669,370,444,515,1.8,42,89%,0.00%,2.10E-05,3.79E-05,1.54E-05
Kiribati,119760,1.57%,1843,147,810,-800,3.6,23,57%,0.00%,1.53E-05,5.52E-05,2.24E-05
Micronesia,115231,1.06%,1208,164,700,-600,3.1,24,21%,0.00%,1.48E-05,4.57E-05,1.86E-05
Grenada,112614,0.46%,520,331,340,-200,2.1,32,35%,0.00%,1.44E-05,3.03E-05,1.23E-05
St. Vincent & Grenadines,111002,0.32%,351,284,390,-200,1.9,33,53%,0.00%,1.42E-05,2.70E-05,1.10E-05
Aruba,106845,0.43%,452,593,180,201,1.9,41,44%,0.00%,1.37E-05,2.60E-05,1.06E-05
Tonga,105901,1.15%,1201,147,720,-800,3.6,22,24%,0.00%,1.36E-05,4.88E-05,1.98E-05
U.S. Virgin Islands,104398,-0.15%,-153,298,350,-451,2,43,96%,0.00%,1.34E-05,2.67E-05,1.09E-05
Seychelles,98453,0.62%,608,214,460,-200,2.5,34,56%,0.00%,1.26E-05,3.15E-05,1.28E-05
Antigua and Barbuda,98069,0.84%,811,223,440,0,2,34,26%,0.00%,1.26E-05,2.51E-05,1.02E-05
Isle of Man,85112,0.53%,449,149,570,,1,N.A.,53%,0.00%,1.09E-05,1.09E-05,4.43E-06
Andorra,77287,0.16%,123,164,470,,1,N.A.,88%,0.00%,9.90E-06,9.90E-06,4.02E-06
Dominica,72017,0.25%,178,96,750,,1,N.A.,74%,0.00%,9.22E-06,9.22E-06,3.75E-06
Cayman Islands,65854,1.19%,774,274,240,,1,N.A.,97%,0.00%,8.43E-06,8.43E-06,3.43E-06
Bermuda,62237,-0.36%,-228,1246,50,,1,N.A.,97%,0.00%,7.97E-06,7.97E-06,3.24E-06
Marshall Islands,59259,0.68%,399,329,180,,1,N.A.,70%,0.00%,7.59E-06,7.59E-06,3.08E-06
Northern Mariana Islands,57619,0.60%,343,125,460,,1,N.A.,88%,0.00%,7.38E-06,7.38E-06,3.00E-06
Greenland,56787,0.17%,98,0,410450,,1,N.A.,87%,0.00%,7.27E-06,7.27E-06,2.95E-06
American Samoa,55169,-0.22%,-121,276,200,,1,N.A.,88%,0.00%,7.07E-06,7.07E-06,2.87E-06
Saint Kitts & Nevis,53264,0.71%,376,205,260,,1,N.A.,33%,0.00%,6.82E-06,6.82E-06,2.77E-06
Faeroe Islands,48896,0.38%,185,35,1396,,1,N.A.,43%,0.00%,6.26E-06,6.26E-06,2.54E-06
Sint Maarten,42960,1.15%,488,1261,34,,1,N.A.,96%,0.00%,5.50E-06,5.50E-06,2.23E-06
Monaco,39290,0.71%,278,26337,1,,1,N.A.,N.A.,0.00%,5.03E-06,5.03E-06,2.04E-06
Turks and Caicos,38806,1.38%,526,41,950,,1,N.A.,89%,0.00%,4.97E-06,4.97E-06,2.02E-06
Saint Martin,38778,1.75%,664,730,53,,1,N.A.,0%,0.00%,4.97E-06,4.97E-06,2.02E-06
Liechtenstein,38147,0.29%,109,238,160,,1,N.A.,15%,0.00%,4.89E-06,4.89E-06,1.98E-06
San Marino,33944,0.21%,71,566,60,,1,N.A.,97%,0.00%,4.35E-06,4.35E-06,1.77E-06
Gibraltar,33689,-0.03%,-10,3369,10,,1,N.A.,N.A.,0.00%,4.31E-06,4.31E-06,1.75E-06
British Virgin Islands,30266,0.67%,201,202,150,,1,N.A.,52%,0.00%,3.88E-06,3.88E-06,1.57E-06
Caribbean Netherlands,26265,0.94%,244,80,328,,1,N.A.,75%,0.00%,3.36E-06,3.36E-06,1.37E-06
Palau,18109,0.48%,86,39,460,,1,N.A.,N.A.,0.00%,2.32E-06,2.32E-06,9.42E-07
Cook Islands,17567,0.09%,16,73,240,,1,N.A.,75%,0.00%,2.25E-06,2.25E-06,9.14E-07
Anguilla,15026,0.90%,134,167,90,,1,N.A.,N.A.,0.00%,1.92E-06,1.92E-06,7.82E-07
Tuvalu,11817,1.25%,146,393,30,,1,N.A.,62%,0.00%,1.51E-06,1.51E-06,6.15E-07
Wallis & Futuna,11203,-1.69%,-193,80,140,,1,N.A.,0%,0.00%,1.43E-06,1.43E-06,5.83E-07
Nauru,10836,0.63%,68,541,20,,1,N.A.,N.A.,0.00%,1.39E-06,1.39E-06,5.64E-07
Saint Barthelemy,9882,0.30%,30,470,21,,1,N.A.,0%,0.00%,1.27E-06,1.27E-06,5.14E-07
Saint Helena,6080,0.30%,18,16,390,,1,N.A.,27%,0.00%,7.79E-07,7.79E-07,3.16E-07
Saint Pierre & Miquelon,5789,-0.48%,-28,25,230,,1,N.A.,100%,0.00%,7.41E-07,7.41E-07,3.01E-07
Montserrat,4993,0.06%,3,50,100,,1,N.A.,10%,0.00%,6.39E-07,6.39E-07,2.60E-07
Falkland Islands,3497,3.05%,103,0,12170,,1,N.A.,66%,0.00%,4.48E-07,4.48E-07,1.82E-07
Niue,1628,0.68%,11,6,260,,1,N.A.,46%,0.00%,2.08E-07,2.08E-07,8.47E-08
Tokelau,1360,1.27%,17,136,10,,1,N.A.,0%,0.00%,1.74E-07,1.74E-07,7.07E-08
Holy See,801,0.25%,2,2003,0,,1,N.A.,N.A.,0.00%,1.03E-07,1.03E-07,4.17E-08
